vehicle_year,make,model,vehicle_type,license_number,vehicle_state,serial_number,usdot_number,empty_weight,registered_weight
1984,Mitsubishi,Galant,tincidunt,MHP 3258,DE,DO65 SFRG 1227 1647 3415 7126 7313,6052242,6669,9657
1986,Mitsubishi,Pajero,leo odio,BYV 8205,PA,IT45 H771 7854 2659 EPWD DLKZ IYO,7722049,14886,13424
2009,Toyota,Avalon,pharetra magna,XOH 0997,OH,IE69 TBYV 2706 9628 8138 33,8848953,7662,15223
2010,Toyota,Matrix,sed vel,XWD 2331,MA,IL92 8595 1294 1720 8956 850,4076550,2347,2290
2004,Lexus,SC,hac,XCY 2914,TX,MD98 HOZW 0Z8B M7EH BCB8 3ZHJ,7686084,5429,11045
1997,Nissan,200SX,bibendum,EBS 6892,CA,MU60 RBCS 1011 7343 5441 0018 048H MI,7381817,5788,9876
1993,Mitsubishi,Eclipse,luctus,ZXS 8919,HI,AT47 7406 0561 8005 9108,3443827,8393,18793
2004,Dodge,Viper,justo sollicitudin,QHS 5829,FL,HR06 1165 9690 8856 4201 0,7937816,4209,15987
1989,Suzuki,Sidekick,nisi,PRN 2919,GA,FR45 6862 8513 34JC 9LX9 DRGG B03,5551277,18638,18001
2006,Volvo,S40,quis turpis,MBE 5223,NE,DE41 3880 7604 7025 1012 16,1573867,19144,7814
1994,Lotus,Esprit,dapibus augue,BTG 9862,MO,NO74 1061 1025 812,4579967,19003,2654
2001,Chrysler,300M,nam dui,ETA 9558,NY,LT85 0223 8580 7654 1294,7381883,3856,9908
2009,Maserati,Quattroporte,augue,WEP 9937,NC,FR38 9691 3978 46JN SDAI UKMS W52,4703064,9158,11604
1991,Lincoln,Continental Mark VII,odio curabitur,JUK 0563,IA,KW81 MDVA 1LCM 5AHI XTAJ NSHX G471 TJ,1270848,12457,8729
1995,Dodge,Ram Van 2500,volutpat,OWV 1433,FL,EE09 1409 6694 9919 9787,6821041,19581,18081
2008,Saturn,Astra,cubilia curae,MPB 0434,MI,BR55 9506 5931 4927 1908 7820 113B L,8700422,15194,15068
2012,Rolls-Royce,Ghost,eget nunc,LWQ 1594,DC,MT14 OOER 5442 5L3U BSKG XTEM VY7X HF9,3453971,8336,9612
2011,Toyota,Sienna,lobortis,VRX 2676,TX,FR35 5221 9061 63NM 7K0X NEY8 J06,1083466,14141,5450
2006,Bentley,Azure,proin interdum,TBI 6773,NM,ES74 9823 4623 0272 8201 3960,1015258,11688,6933
2005,BMW,745,suspendisse,YTE 9036,AK,ES26 9927 3897 5681 0459 6986,3089799,5249,19403
1996,Subaru,Alcyone SVX,nulla eget,YKL 8118,VA,PK61 UYHQ QWM1 YR4W MIII LVQE,6660756,12704,10276
2012,Suzuki,SX4,quisque,GVB 0755,MD,GE57 AW90 8820 0715 4414 28,8711240,16110,2955
2007,Mazda,B-Series,amet,VXQ 2893,IA,AZ76 VGEG OYTI YDKQ 72UT 5T6X LV1Y,4454415,5230,14611
2004,Suzuki,Daewoo Magnus,lorem vitae,YVC 5017,TX,CY04 7209 7216 583K LZPW IHZO RUN2,4621921,9065,2150
1986,Ford,EXP,non,FKT 1639,NY,FR78 2176 3257 34NG GPRB POPF U62,3683576,11146,11752
2006,Mercury,Monterey,nibh,HPQ 2691,WA,BA17 3634 5390 6991 0128,3292971,14219,11834
2001,Ford,F350,eget,IJR 1931,MD,BE18 9194 1431 8482,8763711,2486,4605
1989,Mercedes-Benz,S-Class,vel,TNE 8850,MA,BH81 KGVD 0HAY BG0K XTC1 AX,6354512,19908,4866
2006,GMC,Envoy,lacinia,IJZ 9435,MD,MD29 QXJA YHWA OLRJ IDSF 5KTM,3749747,8085,10161
1994,Mercury,Capri,lorem,TAL 6124,MO,FR60 0570 8420 776L 1DFC UXDG O31,6868639,7724,18145
1995,Mitsubishi,Mighty Max,lectus aliquam,KSF 1183,CA,GI71 OSMY HFMF WB7O RKWH 3EK,7808345,2923,8259
2011,GMC,Sierra 2500,at,AIH 3041,OH,LI74 0261 7AEG KQTF QCFT P,4056798,9351,2141
2005,Volkswagen,Phaeton,id,LGU 5897,DC,LT13 8045 5456 1158 1956,7046638,13566,13197
1988,Porsche,944,tortor duis,DBL 4851,FL,FR45 2633 5920 64DZ WYOV LNSU H24,4543971,10910,14247
2008,MINI,Cooper Clubman,mauris,TAQ 7138,VA,FR87 1704 6196 209X PI8O EYYW J45,7277576,19391,8272
2002,Ford,ZX2,volutpat erat,GSU 8937,TX,HR66 6626 8780 0879 7088 6,7235842,13395,5755
1997,Subaru,SVX,tortor,TLC 4219,FL,TN47 3008 8512 9109 2680 7548,8998368,4296,18319
2010,Audi,A6,nunc vestibulum,DXP 3919,NY,TR05 8197 3VEG Z6DX VS5F 2T8N 25,2997871,10747,6158
2011,Aston Martin,DBS,diam,EDH 4396,OR,LB55 7997 4VM9 KAR3 BBAO ZOIX R6VK,4821824,14433,9514
2001,Oldsmobile,Intrigue,praesent,TLY 5616,PA,SK73 8970 6893 9003 7258 5709,1411407,19022,3851
2010,Honda,Ridgeline,interdum mauris,ITC 9632,FL,FI04 3774 2777 1464 64,8791586,5180,17565
1995,Honda,del Sol,erat,ZUG 7609,NJ,LI38 6172 9KEE WEAX JMBP I,0919367,14954,7198
1963,Chevrolet,Corvette,hac habitasse,PEZ 6280,FL,SI78 0148 7166 8487 762,0388424,18214,14115
1993,GMC,2500 Club Coupe,nunc vestibulum,FCO 1595,CO,FR95 4450 6881 85CT QWOB OZHA K53,3378917,8448,3441
2003,Lincoln,Navigator,ipsum,RUV 7292,CA,AE28 6528 8359 3483 4809 378,2815823,6049,6715
1998,Lexus,LS,quis,PRH 3378,FL,IE55 NQEI 3507 2070 3453 60,5211336,15706,13649
1999,Chevrolet,S10,diam,PVU 7576,VA,SI30 2906 5767 0241 488,6079582,7967,2184
2001,Toyota,Sequoia,nam ultrices,UBQ 2366,DC,MT08 IDIH 0837 6TBG 3ZW4 ABVS G09Q HQV,4111510,5715,7932
1999,Chrysler,Sebring,vivamus,IVK 8517,TX,HR27 5323 3958 9098 2122 6,5380534,18214,6376
2006,Dodge,Magnum,metus arcu,SPE 8160,MO,MC66 1623 2948 63J8 IUWR WGMG T46,4231153,16065,10291
2000,Chevrolet,Prizm,etiam,VXK 1900,KS,IE86 VNGD 6668 6930 6264 52,7706497,9504,11952
1996,Ford,Aerostar,potenti in,YXI 8586,OH,AL50 8325 6581 7KUJ FNQK QMRC CD18,6364437,2971,7460
2010,Toyota,Tundra,aliquam,BDN 1359,DC,NO22 8082 3211 674,0424536,7968,5178
1996,GMC,Sonoma Club Coupe,luctus ultricies,UVG 9398,GA,BR97 2588 2811 1458 5835 1319 303Y 3,1974433,2207,11404
2001,Chrysler,LHS,erat eros,LIZ 5548,IN,DK12 2836 6867 0386 12,8840750,17496,11292
2011,Lexus,IS F,ligula,MVJ 8302,KS,DO20 QTDW 5329 9012 1369 0299 2792,5946844,15247,18211
1993,GMC,Suburban 1500,dui,RJV 5812,TX,FR93 7155 7238 73L3 QBLQ 0IDP M81,2104287,3181,5981
2000,Daewoo,Nubira,nisl,HYW 7890,CA,PT27 3309 8810 6278 6073 3126 5,1374863,14117,11674
1994,Chevrolet,G-Series G10,ut,LWV 8843,FL,SA84 76HO KBTV AWRY ML33 1GQP,8924378,18939,4150
1995,Buick,Park Avenue,et,CXE 5645,OK,DO61 HUII 9162 0813 4091 3804 6755,8905333,17705,9588
2006,GMC,Sierra 3500,nec molestie,DXG 6079,NJ,GR62 5390 0770 J2XE SXWB HVJT LOM,2960443,10163,17124
2007,Hyundai,Elantra,vestibulum ante,JRA 4334,CO,SK29 5978 8443 9493 1981 6102,7455091,2754,12160
1991,Mitsubishi,Galant,ut ultrices,HLZ 3367,DC,FR08 0098 1838 09KP CAF0 GFON E08,8469383,10969,15376
1991,Ford,Ranger,accumsan,RVJ 5599,GA,LU77 7938 JJ67 KBET DN1I,8848328,7311,16938
1999,Chevrolet,Blazer,tincidunt,LGT 6520,KS,GI93 OJWR LGKQ GUSE ECHC EB4,7549718,2029,4110
2003,Ford,Explorer Sport,tincidunt eu,YQM 5605,TN,FR16 0448 9694 43DH 7SE0 JJCO P08,6101918,11897,10799
1992,Lincoln,Continental Mark VII,a,VBN 1777,MO,AE53 9853 6365 1636 2505 410,8911763,5515,11541
2004,BMW,Z4,lorem id,UWP 5999,NM,GT02 JRUD Z18B UXAI YVE1 52TI H5MC,4531530,5578,4814
2007,Nissan,Xterra,pellentesque,DUH 4541,VA,GE46 OP82 9331 8817 0994 75,1921621,7754,14663
2007,Audi,RS4,elementum,BIE 5681,WA,NL16 EEIO 9861 2604 74,0271997,6553,5899
1997,Chevrolet,Express 1500,iaculis diam,JVB 2709,IL,CR68 6692 7843 3450 9297 7,4671543,4701,13732
2012,Chevrolet,Traverse,consequat,JMF 4158,FL,CZ57 2182 5597 8397 6569 3485,4007734,15177,14468
2013,Toyota,Land Cruiser,nulla pede,JEF 8005,PA,DO30 MK2G 6751 5981 9163 1337 0548,8022112,17978,3346
1999,GMC,Sierra 1500,amet nulla,RCT 7185,MO,FR77 4750 4525 31OV RB0U PC7B K89,6684917,18199,18113
2002,Toyota,Camry,vestibulum ante,TRU 6773,FL,BH33 BLWT 4ZHX 0RLC WMI4 ML,4775233,17307,14775
2008,Mazda,CX-7,id pretium,XSN 0756,FL,KZ58 203D BDV7 LUGQ QEBF,6863954,13964,8089
2006,Kia,Rio,venenatis non,PTC 7754,CA,IE94 ZBHW 7508 3800 4000 93,9282071,13343,6561
2004,Hyundai,Accent,suspendisse potenti,QRS 3482,TX,MR82 8700 4685 9991 1168 8870 831,5707764,4474,15356
1993,Mazda,MX-3,pellentesque,AMK 5968,CA,FR96 1647 0718 97WR NVN2 WUG4 U71,7621547,2741,6577
2009,Mercury,Sable,volutpat,ENJ 1047,FL,MU26 IORD 6179 0720 1601 7645 401K HJ,8323384,10288,4741
2012,Ram,2500,sit,KXI 6676,VA,IT11 T519 5063 990Y TIOC 6YHR CNY,0529139,11501,4410
2012,Nissan,NV2500,rhoncus aliquet,FOY 8290,CO,GB25 SUMN 4620 9599 6460 95,5321395,10723,8798
2000,Mitsubishi,Montero,et ultrices,MUN 3571,VA,BA54 6712 8191 1864 5391,3726488,8540,14446
2007,Bentley,Arnage,in,ACH 4649,MN,KW61 ZIHG 5NIL JCJW 6CPS IC2H 9CLA ZT,6711248,8933,15970
2002,Lincoln,Blackwood,rutrum,OKS 7499,NY,TN61 5543 4123 4284 3277 9701,4079092,7115,8527
2010,Maybach,57,nullam,XIL 1841,OR,GL21 9986 3953 1968 21,9639489,7312,13952
1992,Ford,F350,elit,OUM 2790,IL,BG23 CBRO 8429 60KH VONS QI,6659037,10982,2569
2012,Honda,Crosstour,felis sed,IJN 0737,KY,AZ31 ODAS JP2Z HOGE F5II F54X LVF0,0817849,18470,16345
2006,Mitsubishi,Galant,mauris,LHK 1069,MN,HR50 0990 7005 6833 1660 0,6933294,7971,16997
2003,Chrysler,300M,pellentesque at,GAQ 8572,NE,GT87 EIIN GCQ8 JNXX CM36 NXH9 5LVD,6845134,14744,14576
1997,Acura,CL,non pretium,TDY 3586,TX,BR45 2915 0816 6562 3893 2600 022A H,8311540,19652,18644
2011,Ford,Crown Victoria,fermentum justo,FMH 9194,DC,RS58 9342 9473 7350 6625 24,1287313,5375,2333
1989,Pontiac,LeMans,elit,OSL 8070,PA,EE27 0056 2612 9969 4755,8295199,18834,9125
1995,Chrysler,Concorde,convallis,YTJ 0213,IL,FR16 1983 7251 45KZ CAAP AGEM N99,5172470,2605,9839
2006,Infiniti,FX,eros elementum,QFX 4532,CA,NL46 VWCY 2646 0216 67,2063925,14970,17656
1984,Ford,F250,bibendum,TRG 4040,WA,DK87 6115 7968 9247 28,3854716,9439,17596
2012,Dodge,Caliber,curabitur at,YPR 7302,TX,VG57 KRJD 9374 2572 2940 6132,7862209,2269,6045
2006,Toyota,Yaris,lectus,OCJ 5692,MD,IL49 2645 1929 9947 6538 413,4515411,19766,3515
1985,Pontiac,Grand Prix,et ultrices,KPU 7786,NY,FR82 6679 4147 65AI GA7A W4X6 F37,0285691,5407,5894
1992,GMC,Safari,purus,CSR 4543,TX,MT22 ZIPI 5929 86HF D9ZZ P7OI MSHG 1NX,9697245,5673,3556
2008,Toyota,Sequoia,nam,MXT 0966,NC,HU13 9771 6916 4396 9736 7969 4780,6675208,11221,18588
2008,Ford,GT500,etiam,ZWD 9631,AR,NL03 HYGT 3796 9705 40,2117913,12635,13700
1998,Ford,F250,posuere,PUY 1511,DC,MC79 8010 9833 55JS GLXA 8QCK 597,2757995,16879,9477
1997,Mercury,Mystique,magnis dis,LKV 7849,VA,RS70 4865 9273 0720 8860 57,2878912,13367,10307
1997,Buick,Riviera,in,FSB 7028,CT,GB36 BRBS 1015 7809 0398 58,1612889,9666,3472
1984,Ford,Bronco II,nisi vulputate,FUI 4937,CA,IL51 6058 9360 5916 5812 518,8122274,18755,7059
1993,Mercury,Villager,morbi,FLX 8663,TN,ES21 6302 5479 2884 5460 1952,6668382,17786,4989
2000,Infiniti,I,nonummy,SMO 2770,NC,MU97 GLNP 4265 9189 9081 3806 145Q RK,7772100,11777,3937
2001,Lincoln,LS,orci eget,KYX 5206,NY,FR56 3593 6442 94EO 3ODU UHOT B51,2646684,3021,8996
2003,Audi,A4,velit nec,OFK 0873,NV,BG31 OGBQ 5426 83LO N0N3 5M,9871202,10569,6678
1993,Honda,Prelude,eu mi,NHF 0553,FL,DE54 2034 6431 7636 5024 76,6389078,8142,5651
2005,Chrysler,300,eros vestibulum,YEO 2556,CA,FR60 3570 5822 35KE YUEP 21QP G16,1533571,10062,16837
2009,Toyota,Camry,sit,ODV 3145,CO,DO91 2ROD 9887 9879 7257 6337 4172,5110792,16446,4788
1994,Geo,Metro,suspendisse,FCA 0136,KY,DO11 KXJJ 6426 1958 2429 3725 5567,1585756,17970,8776
2011,Cadillac,STS,in,BMN 1502,TX,SM26 T039 3757 587K C9YN QM2A AAR,8633731,5317,14271
2006,Mazda,Mazdaspeed6,rhoncus,FRH 5084,DE,GE38 CX19 6153 4720 5489 33,2615140,5619,19593
2003,Ford,Focus,mauris,WGY 4587,MO,FR48 2012 8339 44WT DBCV RUML G21,1406854,15640,10850
2012,Ford,Flex,luctus,GVK 9897,NY,FR07 6989 6369 51KJ 7EFM SXOC T42,6078871,18691,14792
2008,Infiniti,EX,nulla,JNZ 8475,CO,PT94 6337 6455 9482 0459 0132 4,3685591,2109,6055
1991,Buick,Coachbuilder,laoreet ut,CAH 7843,LA,SK57 0674 7207 9514 7218 6554,5832431,17321,12654
2004,Mercedes-Benz,M-Class,non,NIJ 8550,CA,GI05 BULT XO6W IWSV TTT8 GKB,9835369,13277,17849
2005,Volkswagen,Touareg,non mattis,UEY 1745,WA,BG73 NMHI 2536 378R DQ8T V7,6009764,9809,13063
2007,Ford,E350,a libero,GVC 9700,TX,LV58 YMEW P6M3 GBHD H3NY 0,1997427,19983,8057
2009,BMW,M6,odio,QMW 5557,MA,GL93 5449 5281 6648 34,0923724,15520,14747
1997,Toyota,Celica,turpis,SKX 0157,GA,SE98 5106 1839 4077 2208 2765,3479700,7231,9358
2009,Volvo,V70,vestibulum ac,OHA 0178,IL,TN57 3837 1351 2946 5052 8794,6133411,3729,7691
1986,Mercedes-Benz,SL-Class,varius integer,ZAY 5841,DC,GB68 IZMX 1503 5765 1228 05,6874449,5626,18695
2002,Mitsubishi,Lancer,pede,EKI 5289,CO,GI34 UCIW CS0Y UWID QMIZ JRB,8087658,6746,18773
2001,Toyota,4Runner,quam,YPH 9574,MI,FR50 9402 5290 66ZM VQJD U3KB K46,9667041,2829,15959
2012,Cadillac,Escalade ESV,sagittis,TGL 3689,FL,MU40 ISJJ 6499 5288 3178 7971 657X DH,8454803,8186,9213
2007,Ford,Five Hundred,purus,VBK 6443,VA,DO66 S3OI 7638 8521 4076 0734 3226,7109496,3805,6870
2005,Chevrolet,Venture,nulla mollis,UTH 7311,CA,KZ55 0558 11EG MIQ7 AYHC,7012445,13264,9872
1998,GMC,Jimmy,luctus et,FBA 2869,FL,GR66 6534 582D WR8W PCCE TWBP OM4,1883253,16962,13532
2006,GMC,Yukon XL 2500,turpis sed,IWG 9254,FL,MK35 441X 7OU2 BVJO Q33,0356931,4352,18988
2001,Ford,F350,donec,EAI 3786,WA,IL31 0353 6226 2163 4726 933,9523150,19763,4773
2006,Audi,A6,a,PNH 9113,DC,FR65 6115 1156 77VV L4WS 1UVK I49,0700288,19715,8802
1991,Porsche,944,primis in,FZW 1650,CT,BG65 NXDH 8654 2946 GPPP EI,2714805,6256,11847
2011,Aston Martin,DBS,tristique,YPN 8522,CT,RS66 5453 6812 6683 2638 84,9266473,6136,5183
2008,Scion,xB,feugiat et,GZT 5744,NE,SK39 8797 2044 5543 4326 2866,3166103,2067,12822
2005,BMW,5 Series,nibh,VNT 5072,NY,CZ96 6349 0585 7514 1165 5190,4736286,10557,14581
2011,Nissan,Armada,porttitor,BAI 8176,TX,KZ66 316A UZSY RJS2 4PQR,7386964,7753,11425
1989,Saab,9000,cras,AQU 3703,NJ,SE30 8110 0401 1060 7117 9812,5928775,7707,2554
1995,Chrysler,LeBaron,pede justo,TNJ 8942,AL,DE60 4785 2287 4943 9021 86,6768959,5353,7612
2006,Dodge,Dakota,hendrerit at,ZGE 6187,CA,BE36 4707 9339 0703,0805079,11043,19835
2007,Morgan,Aero 8,luctus,NFO 7354,NY,FR84 3938 0159 37QN KC5X MNRW F56,3191047,10860,9984
1989,Honda,Civic,placerat praesent,YGF 9745,WA,SM23 B802 2975 038M 1PEB SK0N FX5,4461214,18639,4842
2001,Lexus,ES,pellentesque viverra,JXZ 4868,CA,LU91 775X 6QWW JJZB SPL2,9773997,7374,11772
2012,Aston Martin,DB9,tempus,UPF 6887,OH,TR04 0809 5OEK EBCS WAIQ QCK1 9P,2330174,17889,6427
2005,Pontiac,Grand Prix,risus praesent,VWA 0125,NY,MT92 DAHH 1779 4E1O M2NU XHWK AIGA 8ZY,8717789,12947,9134
2007,Honda,Element,in hac,GOZ 3473,GA,FR44 8502 3535 8061 E0LC YZOX E29,7804631,15836,2481
2005,Mercedes-Benz,S-Class,etiam,PKD 2647,MD,ME88 9051 9239 6557 3613 89,6870836,7904,2007
1989,Mercury,Sable,lectus pellentesque,ALR 4665,NJ,FR61 6891 3991 277S JQ3B RKSS K40,2817838,14112,14126
2011,Maserati,GranTurismo,metus,ECA 4449,VA,MU24 IIZW 3386 6801 5437 3949 457J RZ,2201065,2127,6028
1986,Ford,Mustang,ante,QMD 6614,MS,HU47 8600 9693 7111 6547 7687 3580,2787176,5914,11292
2012,Ford,E150,ullamcorper,OEP 7921,TX,KZ87 6644 GEYL 5XLO CVKS,0370346,13126,10050
1975,Pontiac,Grand Prix,augue a,MVX 6180,OK,RS59 4137 3540 7156 4794 72,9158011,17684,5871
2001,Toyota,Solara,in,VER 5773,TX,IT14 I381 2526 043T WWKZ EYBW CXS,5211064,11796,12781
2000,Daewoo,Nubira,elementum,SHV 6389,NC,PL96 1817 0133 7324 9590 2543 0595,8210492,16248,6946
2011,Lexus,CT,adipiscing,PQI 9891,MI,LT77 9743 7987 6042 1684,9914218,16916,7304
1998,Volkswagen,Cabriolet,vitae mattis,XSZ 3427,CA,MU82 HOOP 6121 2683 9665 4032 175Q WE,9060219,3859,11682
2007,Hummer,H2,porttitor,LOB 0749,MO,NO86 7243 9667 071,2645210,11867,2141
2006,Isuzu,i-280,dapibus,ITA 3694,IL,FR22 3658 7045 31QB PTUL 3GZN O84,3465788,8885,18811
1989,Lincoln,Continental Mark VII,bibendum felis,GHY 6075,CA,PS12 IUPS E2CB CDIE FHNS U3RT RXCW F,8458836,5890,18108
1996,BMW,3 Series,amet consectetuer,ELR 1657,NJ,KZ20 868V UKET XIAN D5TF,5170331,9377,14128
1985,Volkswagen,Cabriolet,nulla suspendisse,RSG 6638,OH,LI63 9474 8H0A Y1UF 9A4G V,2585297,14330,10044
1992,Honda,Accord,facilisi cras,NLW 6858,AR,IL49 8604 6656 6100 0878 657,4993165,13374,3956
1999,Mitsubishi,3000GT,in,JLR 3797,OR,SA52 92LI WHTU YHPM I3RL 495B,5458065,12086,11748
2005,Dodge,Durango,non quam,WSM 8035,NM,DO73 XNPN 5599 8595 9932 4920 5830,4432445,19724,18619
2010,Chevrolet,Express,luctus et,KNI 9873,AL,PK83 PLHP T04X MJEA LZBH KQJ6,2688731,13787,10727
1995,Dodge,Viper RT/10,placerat,HVG 1611,NE,DO78 NNXJ 7442 4773 4480 3219 9016,9388178,8182,11791
2009,Bentley,Arnage,enim,LDV 7608,MA,MK32 071A S7BK SEVO K21,1800931,10854,16896
1998,Cadillac,DeVille,ut blandit,RGV 5456,PA,HR02 1632 2682 8095 9982 4,1602877,3704,16873
1999,Chevrolet,Silverado 1500,montes,FEM 0230,TX,EE77 1764 5311 4030 5196,0610717,5541,8554
1987,Mazda,RX-7,vestibulum vestibulum,BFO 5987,NY,CY21 8721 1195 7EKO CPFG Q8DJ R1VK,8847505,16259,8244
2000,Ford,Excursion,nonummy,GKH 7222,VA,MU34 RZPR 4244 3809 1520 8195 036F SN,1098539,7719,8609
1994,Chevrolet,Cavalier,natoque,IKD 8123,SC,SM39 Q337 7336 979Z DMYE 6IRW C4G,6753997,15126,9408
2002,Chevrolet,Camaro,nisl aenean,UXL 7101,PA,FR82 9040 1009 67IZ LI17 W1RB T65,2056150,19590,13697
2001,Buick,Regal,ligula,JNZ 3598,UT,PK54 FETZ LFQC U6CD LPY0 WEQB,4870935,17328,16048
1997,Honda,Accord,est,RSA 1929,FL,FR17 5170 9495 85UE 92SK UPAF L05,2035687,9735,6325
2000,Audi,A4,pellentesque,HRX 6807,NY,FR54 3231 0288 1222 JWU6 UZKU Z91,5421070,10397,8700
2005,GMC,Sierra 2500,volutpat,FGK 4441,GA,BH07 IWYK NO4W SZKD ZZSD UL,5078191,7645,7544
1991,Ford,Taurus,scelerisque,CMP 5957,DC,LI68 8831 0BS0 3Q0R FFXI H,4892892,2936,5499
2011,GMC,Sierra 1500,sollicitudin,FMH 7267,PA,FR30 1639 6116 53N7 51RT FRQN A18,5434917,6491,8773
2003,Honda,CR-V,ac neque,OBS 1689,CO,BG38 DHSC 8713 792U AQXB IV,7082856,7210,4120
1995,Chrysler,Sebring,ac consequat,NTO 3062,CA,FO38 0538 0939 0793 05,4228611,13137,5517
2008,Chrysler,Pacifica,at,RXE 1495,WA,ME31 3631 1416 1439 4069 25,9642797,18764,9670
1987,Mitsubishi,Excel,augue quam,TWN 2074,PA,IE28 WCPF 7252 2935 6523 76,4764813,6399,15131
2012,Volkswagen,Tiguan,in hac,EHW 9732,TX,LB08 3348 8SIL PSBV HNK9 2EFT SES0,6191024,17644,10141
2003,Audi,A6,faucibus,NYH 2473,KY,FR75 1333 0825 24TL 60AO 6WCL Y15,8419358,3104,15378
2006,Chevrolet,Suburban,diam erat,LCA 8024,AL,ES50 2035 1905 6663 1917 7318,1895758,18853,9628
2012,Cadillac,CTS,eleifend,WKT 4921,MA,IS17 6633 7597 5335 7491 9780 87,2027827,14736,13179
2009,Ford,Taurus,in,ZGX 8836,KS,BA73 2034 7942 0053 8279,6932700,13278,14915
1993,Mitsubishi,Chariot,vestibulum sagittis,LBI 5152,HI,FR02 2023 4336 54IZ VPHH GBLP Q80,2943679,2501,5703
2011,Nissan,Quest,ac consequat,TIB 0284,TX,SK02 2886 0753 0569 0186 5986,4779796,9790,2216
2000,Nissan,Maxima,quam,BKI 0143,MO,FR59 3132 5918 98JZ K2VY 7RHT O35,2069093,4697,16461
1997,Mazda,B-Series,duis,WPK 4900,PA,FR57 1010 7911 69XQ H6OK CXMU J70,8100641,2658,6307
2009,Maybach,62,ut,VTG 9635,SC,RO71 NEHC LTBG A5TH MNPM BUUG,3203335,15224,10890
2000,Hyundai,Sonata,consectetuer,PDA 0831,OH,SI09 9946 2573 3849 939,9917263,16205,13167
2005,BMW,M3,mauris viverra,MVG 7915,WI,CR53 0243 0658 2019 8591 9,4350873,14095,8372
1992,Volvo,740,vitae nisl,IPJ 4383,IL,GL82 6426 2119 9017 71,3978494,14731,17021
2000,Suzuki,Grand Vitara,sodales sed,LHE 5296,CA,MK92 8414 VKEB 1OL2 Z73,1588251,8634,19005
2012,Chevrolet,Camaro,cursus id,YIQ 2507,GA,TN56 1325 7848 1819 5405 8714,7675336,14747,5562
1992,Mazda,Miata MX-5,morbi vestibulum,XBF 6254,CA,AE33 9989 6746 3457 6846 957,5012970,9115,17066
2012,Mitsubishi,Outlander,sodales,JNY 9144,NH,LB33 3444 EVTK OS4F PR1Y 1PB9 II1D,5120863,15170,12389
2006,Saab,9-5,lorem id,QDS 9016,NY,BA68 9876 5475 1477 0481,0039122,4447,5426
1992,Chevrolet,Suburban 1500,aliquet massa,CNJ 1003,AL,CR20 0296 6304 2164 6975 7,5025822,14821,7881
1992,Chevrolet,Caprice,quam,VKL 7177,MN,FR84 1408 8026 18OG GHSL LU6L M86,8951279,6080,17938
1987,Ford,Tempo,sagittis,ONX 2572,IN,FR84 5190 0645 30GV LGQ2 FAKW I70,8591125,16974,9966
1957,BMW,600,vel ipsum,QPM 5692,NM,AL10 4998 2913 TDE9 KBGP XNX7 WNRM,1220888,3986,11584
1998,Chevrolet,3500,et magnis,HWU 2683,DC,MR42 2235 2239 7979 3191 1741 223,5018939,19379,17923
2006,Chevrolet,SSR,donec,FZO 0320,AZ,FR58 1263 3666 67I7 P1OD H8MF B36,8398440,16623,4894
2008,Chevrolet,Aveo,pede,DJM 1509,TX,FR88 7666 1406 02HP 3RE1 LFU2 I02,9343392,5359,16654
1995,Geo,Tracker,nullam sit,FQZ 0220,IN,RS54 4134 5290 8721 0374 36,9128987,6175,18535
2006,GMC,Envoy XL,elementum nullam,RJD 0532,AZ,MR54 1625 8821 2470 7043 8050 499,3332612,19418,7473
2006,GMC,Yukon Denali,amet,NVJ 1961,NE,DO20 SNQQ 2230 3186 0388 2847 3358,0259694,18829,5229
1991,Ford,Festiva,dolor quis,IKU 6743,OH,AZ92 SCUS 0HZF JT7B QUIA LAL2 R91Y,9091390,10342,15328
1998,Isuzu,Hombre Space,volutpat,BDS 7324,DC,SA17 03MA 3BQK 8VF1 KLFU UNDA,7608558,14150,6622
2000,Honda,Passport,non,IQO 7542,ID,IS79 5224 9710 9244 5745 4815 55,9468712,5215,13727
1977,Mercedes-Benz,W123,odio elementum,NBU 6170,OH,AE97 2975 3406 0538 3180 964,5191451,9168,3786
1972,Pontiac,Grand Prix,condimentum,RZK 1876,WV,RO43 ACHD LAUG OJSD QPND A4KS,7079149,2957,11276
2007,Ford,F150,non ligula,ADF 6982,FL,LU65 522Z VDNA ZLVH 0MRR,3875483,11522,17030
1993,GMC,3500 Club Coupe,lacinia sapien,RHL 3405,LA,PT96 9106 7727 2375 0290 7941 7,9568018,10300,11238
2008,Chrysler,Crossfire,laoreet ut,CHL 0718,NY,IL27 4083 5016 4884 4023 274,0792362,17798,2797
1997,Mercury,Grand Marquis,in sagittis,MFW 4467,MI,BH69 MWBW GGBN VL6E ESSH T1,9409523,4376,5620
2007,Mercury,Montego,aliquam,VHB 3123,AZ,LI21 4151 5VIQ AIIG QRMJ D,9986093,13611,4591
2005,BMW,6 Series,blandit,IYT 6260,TN,BH73 NPHK T0TN QVPD 0S5A CS,8000539,8166,12210
1989,Honda,Accord,semper,KQL 6258,CA,AT63 0558 0605 8330 9014,9856680,9794,16382
2010,Dodge,Avenger,metus,UDM 6795,LA,TN92 3183 2163 5892 3851 8730,4938631,12662,5564
2004,Dodge,Caravan,proin interdum,YVH 5116,LA,PL79 8246 5779 6104 7468 9119 0959,6284772,9889,13047
