make,model,trailer_type,serial_number,license_number,trailer_state,trailer_description,empty_weight,registered_weight,regulation_weight
Mazda,Protege,sit,MC06 9297 2664 40EK 7QIZ XHK5 H21,545 NVI,CA,Mazda-Protege License #: 545 NVI,18196,13082,2092
Volkswagen,Touareg,quam,IL53 4265 2401 9127 9444 616,113 ACW,MO,Volkswagen-Touareg License #: 113 ACW,5254,18465,4588
Ford,Thunderbird,suspendisse,MU34 TXIM 7644 0267 0101 7145 677N RL,580 XLV,MN,Ford-Thunderbird License #: 580 XLV,7891,12303,11226
GMC,Envoy,venenatis,MD02 3PBA H60Y R6EC BVZP PKUZ,017 PCO,CA,GMC-Envoy License #: 017 PCO,4249,17252,13407
Isuzu,Ascender,nisl nunc,CZ44 7535 7036 2885 3232 0631,230 UBO,CA,Isuzu-Ascender License #: 230 UBO,8759,5947,17552
Mercedes-Benz,CL-Class,congue etiam,CZ82 2011 4382 5531 8761 3371,128 RCJ,GA,Mercedes-Benz-CL-Class License #: 128 RCJ,16806,4484,18030
Cadillac,SRX,orci luctus,DE59 9301 3868 8925 1314 86,044 ZXK,OK,Cadillac-SRX License #: 044 ZXK,3144,19340,17347
Ford,Taurus,luctus,GT55 ODFI LY10 AV00 1HMM EQVN W0JP,708 RJA,AZ,Ford-Taurus License #: 708 RJA,17251,19271,12766
Chevrolet,Corvette,natoque,GT94 IG5V WDTR 877Z QXBC 63OF 8LBK,751 VQN,MN,Chevrolet-Corvette License #: 751 VQN,3075,13744,12893
Porsche,911,erat,PS41 WSHH 92BJ L9HK HLS0 QZZR FPOC V,104 XCB,MN,Porsche-911 License #: 104 XCB,8011,13415,2682
Audi,90,turpis nec,IT14 C203 3771 144S V5RL 75MP AUQ,511 NOC,NE,Audi-90 License #: 511 NOC,13566,7678,11508
Dodge,Ram 3500,lectus in,RO60 TXWQ L3KN MNIM 2UTP OBOR,384 KPM,CO,Dodge-Ram 3500 License #: 384 KPM,11495,5461,7732
Cadillac,SRX,blandit,GT47 HPPC UNG2 LDZL KGSX FMLM JNFG,815 XTH,CA,Cadillac-SRX License #: 815 XTH,19888,4275,4201
Chrysler,Town & Country,id,VG91 WQXQ 4630 0115 2856 4587,725 RVY,CA,Chrysler-Town & Country License #: 725 RVY,4181,11434,12286
Volkswagen,Fox,volutpat quam,FR28 6734 2351 03SY PWXT BLU7 F07,176 JZO,TX,Volkswagen-Fox License #: 176 JZO,13380,12628,13761
Cadillac,DeVille,maecenas,TR53 1694 5KST IBG3 3YYV B4CX RX,768 ZIO,FL,Cadillac-DeVille License #: 768 ZIO,11099,15737,12523
Mercedes-Benz,Sprinter,ut massa,NO39 3182 7285 482,570 KIY,MA,Mercedes-Benz-Sprinter License #: 570 KIY,17510,14833,16784
Ford,Ranger,lobortis convallis,GL59 1066 4773 4742 10,451 ADS,WA,Ford-Ranger License #: 451 ADS,15746,16777,6923
Hyundai,Tucson,amet,FR38 5078 2746 64KA 5LOL EJ7G V83,568 WBK,WA,Hyundai-Tucson License #: 568 WBK,16586,11769,15528
Volkswagen,Jetta,erat vestibulum,BG80 KCDQ 8384 01UI GXJI JQ,894 UIX,TX,Volkswagen-Jetta License #: 894 UIX,14453,7929,16272
Mitsubishi,Truck,luctus nec,NL10 CILI 8298 9545 82,035 SOD,MN,Mitsubishi-Truck License #: 035 SOD,13860,14335,15674
Audi,RS 6,nunc,AL52 7988 8927 EGOG GJDX VPLC WHW1,835 OTX,WA,Audi-RS 6 License #: 835 OTX,2845,10449,15173
Lexus,RX,est,MR85 5502 3897 4848 7343 0028 063,553 GAD,LA,Lexus-RX License #: 553 GAD,8051,18158,15509
Mercedes-Benz,M-Class,magnis,IS65 4678 7675 1715 0113 0065 90,966 BCJ,OK,Mercedes-Benz-M-Class License #: 966 BCJ,12711,4853,10821
Toyota,RAV4,blandit mi,BA33 3538 7430 7078 1771,735 FRZ,DC,Toyota-RAV4 License #: 735 FRZ,16449,11857,10770
Cadillac,XLR,viverra,LU22 855T TZAX FZXE ABUO,821 HEO,NY,Cadillac-XLR License #: 821 HEO,16349,3986,9047
Buick,Century,primis,LB18 3684 76EE 8EFK YB1N 0AXX QSIC,398 DMY,IA,Buick-Century License #: 398 DMY,8040,14382,13406
Pontiac,Bonneville,porttitor,MK31 060I XW7Q ZRWH P36,071 YJR,NY,Pontiac-Bonneville License #: 071 YJR,17611,7059,19827
Infiniti,G,non sodales,RO26 YARI PYN9 JZ4W SGDC DLO5,204 SQG,DC,Infiniti-G License #: 204 SQG,12591,9729,6077
Volvo,V50,orci,LV55 VVPP BTXM UUFP MFBA M,816 LWK,NM,Volvo-V50 License #: 816 LWK,7241,12713,10058
Toyota,Sienna,pulvinar lobortis,LV92 YNWZ O9N2 Z7LJ 0EHI G,212 BYR,AL,Toyota-Sienna License #: 212 BYR,12654,4683,5349
Ferrari,599 GTB Fiorano,aliquam,LB74 7781 GCHM E7YK UXYH IR3W 5JA0,794 RUZ,CA,Ferrari-599 GTB Fiorano License #: 794 RUZ,15892,15345,8916
Volkswagen,Routan,bibendum,ME60 7749 7927 3160 9851 88,877 BLT,PA,Volkswagen-Routan License #: 877 BLT,18704,9700,9118
Suzuki,Aerio,penatibus,SM49 K269 9005 1115 1XEQ A3LB MLM,498 UZA,OH,Suzuki-Aerio License #: 498 UZA,16480,7295,9366
Pontiac,Grand Am,ultrices,SM96 L868 1039 531N PZ8X AELC 3OQ,529 CJW,MI,Pontiac-Grand Am License #: 529 CJW,17683,16060,18524
Toyota,Previa,morbi,LI44 7394 1F1L WZX0 KHNF S,182 GWD,MA,Toyota-Previa License #: 182 GWD,8629,3386,6142
Ford,LTD Crown Victoria,ut,GR73 3243 488K Q4OM YZVA CD2W GBC,450 ZIH,LA,Ford-LTD Crown Victoria License #: 450 ZIH,18447,10022,12467
Volvo,C70,posuere cubilia,IS36 3137 5413 8359 9339 1625 58,007 BRP,NM,Volvo-C70 License #: 007 BRP,5501,7415,18595
Pontiac,LeMans,ullamcorper purus,FR24 1354 2396 91IW 8YI7 W5GN 089,545 NXS,IL,Pontiac-LeMans License #: 545 NXS,3407,11609,19129
Toyota,Tacoma Xtra,turpis,LV60 BSVH FXKK M0PX 1X9D P,519 WGZ,TX,Toyota-Tacoma Xtra License #: 519 WGZ,10723,10147,4106
BMW,5 Series,interdum,LU51 363J XHKW 8W0W JXES,870 RFL,NE,BMW-5 Series License #: 870 RFL,2921,17203,12582
BMW,530,venenatis,FR13 2006 0757 50HN MVNH GAWP B24,472 JLN,MN,BMW-530 License #: 472 JLN,5000,3557,2676
Ford,Fiesta,eu,GL46 8784 5758 8839 82,269 OPK,ID,Ford-Fiesta License #: 269 OPK,12944,6835,9578
Ford,Explorer,etiam,CY96 4045 2885 ZNV1 V6RH 2IXD GZRX,980 PDA,PA,Ford-Explorer License #: 980 PDA,15947,14220,14711
Volkswagen,Passat,nunc,IL54 6119 1346 2579 6103 207,884 EIO,CT,Volkswagen-Passat License #: 884 EIO,3890,15402,13643
Ford,F250,non sodales,BG68 SHEF 3116 05BL D8AA A9,297 WHF,NC,Ford-F250 License #: 297 WHF,18419,6811,7913
Mazda,Tribute,amet,LB18 1122 1ZQF DHT6 DN2P TSYG D7X9,580 GMA,OH,Mazda-Tribute License #: 580 GMA,13477,8486,3636
Lexus,GX,et ultrices,GI53 TPVX ANRF IZHZ FMI3 HMC,456 OZU,AZ,Lexus-GX License #: 456 OZU,2908,6995,16565
Mercedes-Benz,CL-Class,massa,FR82 5069 8482 52IQ QLHE ALWO X29,475 SFG,IA,Mercedes-Benz-CL-Class License #: 475 SFG,4581,17105,5416
Mercedes-Benz,Sprinter 2500,in sapien,CR66 4329 5016 7952 6946 2,599 FCI,DC,Mercedes-Benz-Sprinter 2500 License #: 599 FCI,12106,9798,16666
GMC,Savana 1500,adipiscing,CR66 8447 4093 5507 9189 6,288 XCQ,TX,GMC-Savana 1500 License #: 288 XCQ,10593,13312,6196
Lincoln,Town Car,dis parturient,RO90 FSJE OGHZ Z7VS 3MV7 FB2U,216 SPR,MS,Lincoln-Town Car License #: 216 SPR,9379,3357,19066
Buick,Century,volutpat quam,RO59 HGHS J7MP PDJI 0JP6 8IF3,126 VXR,TX,Buick-Century License #: 126 VXR,6771,12572,16433
Suzuki,SJ,justo lacinia,SM24 M260 8924 382Y R0NF FBVM NTG,219 IUX,IL,Suzuki-SJ License #: 219 IUX,8433,16795,2059
Volkswagen,Passat,proin,FR48 6174 3083 15H9 TCSD YYYY 315,261 XUI,OH,Volkswagen-Passat License #: 261 XUI,2488,12087,11139
Mitsubishi,Tredia,lectus vestibulum,ES02 9680 1256 4920 5214 1453,093 CMZ,OH,Mitsubishi-Tredia License #: 093 CMZ,9321,12392,15024
Saab,9-5,vulputate,GI11 ROHJ 2A1H KBCI QRGE Q0G,302 JDQ,DC,Saab-9-5 License #: 302 JDQ,13381,16488,18650
Land Rover,Range Rover Sport,ipsum primis,FR19 1030 0371 86YF 2AO3 M1AW 070,136 SNH,DC,Land Rover-Range Rover Sport License #: 136 SNH,4947,10929,8739
Ford,Five Hundred,nisi venenatis,NL47 ULJV 1660 2337 89,243 TXV,MO,Ford-Five Hundred License #: 243 TXV,13041,8047,8095
Mercedes-Benz,E-Class,curae,FR52 0506 9580 13CH AFTT D7PU 788,403 KRM,MD,Mercedes-Benz-E-Class License #: 403 KRM,12096,8792,17980
Nissan,240SX,mus etiam,SM58 P291 3970 980Q G3EA PTPP NCE,766 SIQ,IL,Nissan-240SX License #: 766 SIQ,6564,9880,2621
Mercedes-Benz,CLK-Class,sodales scelerisque,IE31 MALW 4508 9585 2419 87,855 WZT,PA,Mercedes-Benz-CLK-Class License #: 855 WZT,17106,9542,18005
Ford,E250,hac habitasse,BH80 XUYP UTKO 3W2P 141K LX,094 PIE,NJ,Ford-E250 License #: 094 PIE,8414,12822,10800
Ford,Fusion,curae nulla,ES42 7410 3914 6995 2119 3280,465 SHQ,NH,Ford-Fusion License #: 465 SHQ,10824,10604,11537
Mitsubishi,Pajero,in hac,TR76 7328 25ZL MKH0 Y7P9 CWR1 PV,812 RKP,NC,Mitsubishi-Pajero License #: 812 RKP,2462,19049,6801
Spyker,C8 Laviolette,etiam justo,GT22 EJYW PVZE YGCF 6XVY OLUD VLHV,805 ERB,DC,Spyker-C8 Laviolette License #: 805 ERB,15480,9504,11285
Oldsmobile,88,penatibus et,MT80 RIOI 5350 863A 569A UPOG YMD5 BZV,147 KAN,TX,Oldsmobile-88 License #: 147 KAN,4426,10336,16913
Chevrolet,Camaro,quisque porta,PK79 ZTDZ YVIW LSZJ FWS5 C76T,503 CXE,MN,Chevrolet-Camaro License #: 503 CXE,4153,5330,6124
Pontiac,Solstice,donec,DO12 SATL 7015 0142 1368 2465 6388,400 YOI,KS,Pontiac-Solstice License #: 400 YOI,4247,10363,5912
Chrysler,300,ut,CY77 0605 6163 SR5B YU8K ZSHD 9T62,835 ITD,CA,Chrysler-300 License #: 835 ITD,2080,11842,2641
Nissan,Frontier,posuere,GB49 GXQU 0721 8214 9656 67,266 ZOG,TX,Nissan-Frontier License #: 266 ZOG,12232,6250,10272
Ford,Escort,vulputate,CY67 7724 1954 TCIN B7N7 VXDK 8B2L,662 YPZ,WA,Ford-Escort License #: 662 YPZ,9701,2966,5687
Pontiac,Firefly,justo pellentesque,LI36 8572 4FYQ JGX7 GKJS F,190 HOI,SC,Pontiac-Firefly License #: 190 HOI,2870,16930,17041
Mitsubishi,Eclipse,sapien quis,DO71 JIZK 6618 5927 5447 5782 3653,463 VCA,OR,Mitsubishi-Eclipse License #: 463 VCA,10315,12950,17452
GMC,Sonoma,ligula,FR24 6571 8501 81AX 7GIZ RRDS 670,288 KZA,FL,GMC-Sonoma License #: 288 KZA,12740,13945,7984
Audi,A8,tempus,CH98 6579 35GD QDKR M6OX S,808 PHD,NV,Audi-A8 License #: 808 PHD,13191,7725,19424
Chevrolet,Express 1500,nullam,PK84 FYLO UUDH MEEH REPZ GCSY,478 YXL,AZ,Chevrolet-Express 1500 License #: 478 YXL,19807,10877,14131
Nissan,Altima,vestibulum ante,FR78 5081 5645 54XT QS1D VRPW 412,781 UXR,PA,Nissan-Altima License #: 781 UXR,12118,11088,11114
Hyundai,Elantra,ultrices,DK98 6012 1789 3591 13,913 DSK,TX,Hyundai-Elantra License #: 913 DSK,2173,2075,14495
Chevrolet,Sportvan G30,orci luctus,BE43 5243 9638 6753,718 RCG,TX,Chevrolet-Sportvan G30 License #: 718 RCG,12804,19787,6352
Mercury,Topaz,turpis,FR31 9368 0127 102M HEYI 3YIJ I39,936 AGX,MD,Mercury-Topaz License #: 936 AGX,6452,3052,15454
BMW,Z3,nulla,SE77 8445 4342 3024 4637 3679,285 QRW,CO,BMW-Z3 License #: 285 QRW,17330,12773,11414
Chevrolet,Silverado 3500,curae,TN56 1963 8642 5956 4958 7821,432 JAP,WA,Chevrolet-Silverado 3500 License #: 432 JAP,19143,3554,11185
Chevrolet,Corvette,vestibulum,MK54 5785 4Q73 OSOE A79,498 EAO,MO,Chevrolet-Corvette License #: 498 EAO,3907,8428,11184
Mercedes-Benz,M-Class,pulvinar sed,RS24 3466 9590 9942 7976 76,453 TYK,CT,Mercedes-Benz-M-Class License #: 453 TYK,18253,8090,13302
Mercedes-Benz,GL-Class,in consequat,SM54 R185 3846 027F HE6B EXG1 KUI,061 HSD,FL,Mercedes-Benz-GL-Class License #: 061 HSD,11078,11805,15212
Chevrolet,Malibu,montes nascetur,SA98 618W 9W8O BWSA OCJW UVM8,173 ECF,CA,Chevrolet-Malibu License #: 173 ECF,3362,19211,6989
Toyota,Sequoia,sodales,TR93 3460 4J3D JS0O GB3Z UDN7 RU,846 SCK,FL,Toyota-Sequoia License #: 846 SCK,3368,8434,11173
Hyundai,Azera,maecenas tincidunt,FR17 6702 9766 49CN Q1DG VFJ9 D12,104 NWK,AL,Hyundai-Azera License #: 104 NWK,4659,18161,13953
Dodge,Intrepid,sagittis,PK71 QOYN OZVE OXJA A89B PYPO,291 ITC,OH,Dodge-Intrepid License #: 291 ITC,15409,14718,17170
Lexus,IS-F,dui,IL69 8989 3321 7920 5328 785,867 WKG,VA,Lexus-IS-F License #: 867 WKG,16868,11837,11728
Oldsmobile,Alero,tristique,CH85 5834 5KSQ YLNH V2AB U,250 BSW,FL,Oldsmobile-Alero License #: 250 BSW,17741,15937,5556
Ford,LTD,tempus sit,PK82 WBGU AKNA YVYV J0P4 PYFY,180 DML,NY,Ford-LTD License #: 180 DML,2971,17074,16843
Lexus,SC,urna pretium,GI67 LCOE TQD2 NWB9 ESMZ RPR,668 MWG,TX,Lexus-SC License #: 668 MWG,9640,3044,9667
Toyota,Corolla,aliquet,HR87 6597 6544 8361 9768 5,313 ASK,OH,Toyota-Corolla License #: 313 ASK,11573,9803,7203
Mercury,Sable,aenean lectus,CR72 0877 9636 3598 2155 5,069 KYR,CT,Mercury-Sable License #: 069 KYR,5024,9420,2354
Subaru,Impreza,ac,FR87 7566 3270 568G 5THN LTKK G15,554 DHK,CA,Subaru-Impreza License #: 554 DHK,10241,19443,9546
Nissan,Cube,potenti,FR68 4843 0027 30QK 9WZT M7MN E14,850 FTV,PA,Nissan-Cube License #: 850 FTV,2176,9542,4026
Subaru,Forester,at dolor,IT62 T380 1331 7445 WQQK KTFI 8R4,109 CHY,MN,Subaru-Forester License #: 109 CHY,7901,7489,7128
Lexus,HS,sem,FR26 0960 6027 29DY I24O JMBQ Y85,035 NHT,AZ,Lexus-HS License #: 035 NHT,5158,3749,12246
Mazda,MX-5,lectus,AZ76 MFRX A3JK INT8 CAFO AVI9 0LLE,932 ZAY,CA,Mazda-MX-5 License #: 932 ZAY,19124,11617,19850
Mitsubishi,Tundra,cursus,CY83 1308 6410 BSAE HIRN A1JF UKQC,096 URI,PA,Mitsubishi-Tundra License #: 096 URI,14345,6842,19995
Saab,9-3,volutpat in,CH90 6246 4ORZ KNV3 BMOI I,726 YPR,GA,Saab-9-3 License #: 726 YPR,18157,10896,12112
Lamborghini,Diablo,quis,FR96 0120 0736 37WM BHJ9 4Z9K K13,907 TSA,TX,Lamborghini-Diablo License #: 907 TSA,11997,16492,19259
Kia,Optima,vestibulum quam,KW26 TBHG ZA8W 0ZVN RWDZ HBWA QC32 CM,625 MLI,DC,Kia-Optima License #: 625 MLI,10096,15598,7404
Chevrolet,Express 2500,nisl duis,AL53 4104 1136 GFVP IAKH 1OTZ ELYO,470 OFE,OH,Chevrolet-Express 2500 License #: 470 OFE,5458,19998,10311
Chrysler,Concorde,id turpis,RS39 1398 2135 8466 9451 09,676 FEW,OH,Chrysler-Concorde License #: 676 FEW,8002,17533,5874
Pontiac,Fiero,eget,BR98 8599 3342 8692 2762 5222 472C E,480 ZSI,FL,Pontiac-Fiero License #: 480 ZSI,7134,13309,5303
Toyota,Camry,posuere nonummy,SK75 4536 2275 4029 9496 9496,366 NZY,CA,Toyota-Camry License #: 366 NZY,18577,18287,17313
Audi,A8,diam,MD11 XFME 1VF8 OEGF 7LDA YZBO,600 VQJ,GA,Audi-A8 License #: 600 VQJ,3023,3512,15116
Lexus,GX,eros,LU45 681M VY5U OIDF T9DY,596 WYE,KY,Lexus-GX License #: 596 WYE,7405,17507,4457
Audi,A7,montes nascetur,MR42 1551 3929 0834 2455 7959 681,199 VQI,DC,Audi-A7 License #: 199 VQI,12571,3919,7830
Mitsubishi,Montero,vel,GI33 TISC KVYK NQ6P 1I4M HMH,451 CBK,FL,Mitsubishi-Montero License #: 451 CBK,5209,4910,15150
Dodge,D150 Club,eu orci,FR73 5976 2898 272O VQ5E DUSN L68,679 FJL,CA,Dodge-D150 Club License #: 679 FJL,17760,9185,18358
Ram,C/V,nulla eget,AD34 9783 5250 MPXG P6ZM YIWV,590 RJH,VA,Ram-C/V License #: 590 RJH,3586,17820,18280
Saturn,VUE,vestibulum,TR69 7808 4AJZ 6GCA IUWU GMQD V4,155 FPN,MS,Saturn-VUE License #: 155 FPN,5587,10236,4083
Mazda,626,id,SA51 97QP S83I X2QN KTGQ ED2J,068 SCN,WA,Mazda-626 License #: 068 SCN,8132,8289,16874
BMW,5 Series,felis,SE58 7089 7904 1021 3305 5460,969 PBU,IL,BMW-5 Series License #: 969 PBU,7027,12177,11705
Ford,Explorer Sport,tristique,KZ25 184F V44Z Z7PR LXBJ,684 AEJ,TX,Ford-Explorer Sport License #: 684 AEJ,2084,13439,4425
Chevrolet,Avalanche,id lobortis,RS98 6780 2333 4651 0974 51,998 JFB,FL,Chevrolet-Avalanche License #: 998 JFB,13504,11835,12202
Mercedes-Benz,SL-Class,scelerisque,MR24 9866 1457 0923 0068 0923 545,728 UFY,PA,Mercedes-Benz-SL-Class License #: 728 UFY,8533,19877,10173
Audi,TT,curabitur convallis,ES93 9541 9241 8219 8572 0054,335 LZH,HI,Audi-TT License #: 335 LZH,13349,3902,13358
Mazda,Mazda6,laoreet ut,AL77 9057 4493 U3IA O211 9P3H 7PSA,727 JID,OH,Mazda-Mazda6 License #: 727 JID,7730,17389,10729
Mazda,626,id,AL40 5549 3928 IMQJ 5UAK MWTH DLMB,212 YWB,CA,Mazda-626 License #: 212 YWB,18840,17348,4885
GMC,Yukon,dis,HR76 4698 1708 0416 5931 6,947 FBD,DE,GMC-Yukon License #: 947 FBD,17343,14047,8901
Dodge,Stratus,eu,GI97 JYTD N4AT AD5S X4CO VFK,501 QZX,MD,Dodge-Stratus License #: 501 QZX,15104,14359,2031
Kia,Sedona,penatibus et,FR15 8785 0886 536Z SFT9 YDII 647,505 XJE,CA,Kia-Sedona License #: 505 XJE,4693,13392,5217
Honda,Odyssey,commodo vulputate,SM23 X603 6363 928J ZNM6 DH5S WDF,295 ZBT,NY,Honda-Odyssey License #: 295 ZBT,13360,8323,15668
Lotus,Elan,nascetur,BE25 5637 1907 1383,793 AQD,FL,Lotus-Elan License #: 793 AQD,10555,3238,5960
Lincoln,Navigator,habitasse platea,AL83 9326 4319 AU4T NGMD 0DPX WWXB,444 GOS,MI,Lincoln-Navigator License #: 444 GOS,13449,15080,8572
Nissan,Frontier,platea dictumst,LV53 KOYF 0PYJ UEMY 1SD5 0,966 MCF,AL,Nissan-Frontier License #: 966 MCF,8897,14380,5065
Plymouth,Laser,non,SM63 W770 4856 712D JVBF KBNC CSS,356 HIP,FL,Plymouth-Laser License #: 356 HIP,19383,10843,18144
Dodge,Magnum,erat id,LV56 OKHC UT7C C63Q YVED 4,368 SQD,NC,Dodge-Magnum License #: 368 SQD,11847,9723,11428
Toyota,Land Cruiser,id,NL41 GSQT 0024 0962 45,499 CDI,SC,Toyota-Land Cruiser License #: 499 CDI,4647,6044,15619
Chrysler,Imperial,turpis,IL26 0899 0411 6748 9026 361,276 SRW,NV,Chrysler-Imperial License #: 276 SRW,18157,17784,5521
Mazda,Miata MX-5,ultrices posuere,TN33 0239 3089 3852 7937 5020,292 HFR,OH,Mazda-Miata MX-5 License #: 292 HFR,8422,17940,11315
Lexus,ES,cubilia,AE85 0947 7202 7169 5553 095,288 GVH,CA,Lexus-ES License #: 288 GVH,2156,8572,4837
Mercury,Sable,at nulla,LB67 6574 NYVU I2WU WT04 WIJC SWC3,031 LAO,CA,Mercury-Sable License #: 031 LAO,5304,2471,2179
Ford,F-Series,ipsum,FR06 7002 1385 17H4 RIPC HLKM Y95,935 PKJ,CA,Ford-F-Series License #: 935 PKJ,7240,17024,16507
Toyota,Corolla,sit,SK03 9698 8347 5297 6974 3307,655 ADW,FL,Toyota-Corolla License #: 655 ADW,2628,12571,13247
Mercedes-Benz,Sprinter,felis,HU77 5573 9596 5784 5079 6554 7895,702 WDC,WA,Mercedes-Benz-Sprinter License #: 702 WDC,14887,6012,11075
Chevrolet,Silverado 1500,tempor,FR32 5400 2826 07NK 8D7W 0ZIS P80,283 IYK,FL,Chevrolet-Silverado 1500 License #: 283 IYK,14591,3526,7880
Ford,Escort,justo,AZ12 LEZZ YTGK RNIH X5GE IDV9 TZNX,297 FNJ,CA,Ford-Escort License #: 297 FNJ,17084,16438,8421
Mazda,Miata MX-5,quam pharetra,HR93 8247 1219 7878 0178 8,629 ZQM,VA,Mazda-Miata MX-5 License #: 629 ZQM,16765,9463,11651
Honda,Prelude,volutpat,PK14 LZBD G0DN SVWU EFYR VXBI,235 ZEW,IN,Honda-Prelude License #: 235 ZEW,4941,17941,5550
Ford,Econoline E150,duis faucibus,FO18 6253 0141 8130 98,314 PGR,NE,Ford-Econoline E150 License #: 314 PGR,19379,19882,19142
Chrysler,Cirrus,faucibus orci,SM49 B757 8628 933V 9DI7 GA59 UOC,650 JWC,IN,Chrysler-Cirrus License #: 650 JWC,12867,10203,17689
Cadillac,Escalade EXT,cubilia,GB20 PKBX 5488 4463 9748 34,923 TGP,OH,Cadillac-Escalade EXT License #: 923 TGP,12054,10273,18000
Chevrolet,Metro,ac,FO02 5545 5506 6551 11,566 MLC,OK,Chevrolet-Metro License #: 566 MLC,11725,7327,7591
GMC,Rally Wagon G3500,nullam varius,RO94 RKBK LB7K IQRT XDGG MFPL,825 ZXE,HI,GMC-Rally Wagon G3500 License #: 825 ZXE,6989,5102,3206
Nissan,Murano,lectus in,FR48 2299 3789 67SO NNQ4 AFUV P87,815 GQN,TX,Nissan-Murano License #: 815 GQN,18581,10059,10924
Dodge,Durango,vestibulum,FR81 4221 7055 77XH FJAX 5MH5 Q13,999 ZXP,KY,Dodge-Durango License #: 999 ZXP,7946,14762,10935
Volvo,S40,ipsum integer,AL18 3827 7708 GQZG JTV2 29CB K6FO,382 RPE,GA,Volvo-S40 License #: 382 RPE,19113,8559,7336
Chevrolet,Tahoe,vehicula condimentum,FR56 0190 8723 52GY KXBR MDWJ M82,290 FXZ,CT,Chevrolet-Tahoe License #: 290 FXZ,5302,9477,4660
MINI,Clubman,turpis donec,AZ18 ZLOF 5XUK LKHS KYTM XKQW TYZ9,888 AYD,FL,MINI-Clubman License #: 888 AYD,4662,10252,16028
Bentley,Continental,consequat ut,SM50 X058 6305 927R ZXGE QLZ9 SV4,745 PBH,PA,Bentley-Continental License #: 745 PBH,5894,9720,16752
Chevrolet,Express,sit,FR82 7246 3761 80RT Q8OS CDL7 137,212 DPL,AR,Chevrolet-Express License #: 212 DPL,16275,3567,19460
Ford,F350,risus semper,AZ72 SEOW TF35 90VU HO3F S4RR Y6C2,287 MAT,TX,Ford-F350 License #: 287 MAT,3717,12204,13164
Dodge,Ram 1500 Club,curabitur,FR87 9993 8258 10QW EWVA 8GLI V68,566 ISM,FL,Dodge-Ram 1500 Club License #: 566 ISM,13749,8096,16531
Buick,Somerset,nullam molestie,IE13 UNAD 2924 6895 0308 89,850 NXE,UT,Buick-Somerset License #: 850 NXE,13228,12143,13015
Chevrolet,S10,vel pede,AD55 6180 5293 ROSH GBWW PSJX,162 DWR,VA,Chevrolet-S10 License #: 162 DWR,7533,3333,16671
Mitsubishi,Mirage,cum sociis,MK61 544I 8HXK WNOC Z99,187 MGU,IL,Mitsubishi-Mirage License #: 187 MGU,17616,9333,5907
Volvo,S40,pellentesque volutpat,AE24 8821 4148 4591 0579 976,709 ECN,CA,Volvo-S40 License #: 709 ECN,13902,12431,17313
Ferrari,599 GTB Fiorano,vivamus in,FR20 6008 4229 628G ICDW X2JV A31,546 BUG,TX,Ferrari-599 GTB Fiorano License #: 546 BUG,12093,2505,17920
Pontiac,Daewoo Kalos,magna,LB76 4212 LPYO I4UL PD5R R1CJ U5HX,188 MXI,UT,Pontiac-Daewoo Kalos License #: 188 MXI,18426,17183,17481
Dodge,Caravan,quis odio,PK19 XHVG UMW6 TJRQ 4T3H 6ESW,369 ZRV,VA,Dodge-Caravan License #: 369 ZRV,7348,16735,9578
Subaru,Baja,pellentesque,PT06 0265 3604 2835 4611 6577 4,392 SUM,MO,Subaru-Baja License #: 392 SUM,17933,19900,2950
Dodge,Neon,sit,FR18 4623 7502 90EC SJB8 OVZG H20,026 LVX,VA,Dodge-Neon License #: 026 LVX,6315,7774,17496
Mitsubishi,GTO,lectus pellentesque,SA02 187I 8W1O KIBC JX8F 2NG4,317 XYJ,CA,Mitsubishi-GTO License #: 317 XYJ,12661,3904,14754
Jeep,Wrangler,ut,PS17 IODZ NHOJ 9FSA YYZQ YAOU UDZS 6,298 RVI,TX,Jeep-Wrangler License #: 298 RVI,12404,17311,3165
BMW,X3,consectetuer adipiscing,KW32 NPXQ SNAN U5NT 21YK ZOUU E2SH KA,335 LXD,NC,BMW-X3 License #: 335 LXD,3785,19480,4323
Mercury,Marquis,accumsan tellus,VG06 QLON 5376 7928 6839 2832,635 ZAF,FL,Mercury-Marquis License #: 635 ZAF,2764,9919,12455
Toyota,FJ Cruiser,lacus morbi,TN14 1613 3421 9347 0955 9518,346 BEL,IL,Toyota-FJ Cruiser License #: 346 BEL,2757,7230,19002
Lincoln,Continental Mark VII,integer aliquet,ME20 1929 3207 6718 3216 48,744 QIM,CA,Lincoln-Continental Mark VII License #: 744 QIM,19750,4682,13537
Mazda,RX-8,suscipit,GL73 9239 0395 3591 09,078 OVI,MO,Mazda-RX-8 License #: 078 OVI,13914,15321,9268
Toyota,RAV4,ultrices,FR03 1711 4230 37OE PTOG UE9X 122,342 BCH,DC,Toyota-RAV4 License #: 342 BCH,19859,3978,18233
Ford,F150,sodales,FR79 2620 2215 91WN THFW HEPN R38,435 DHJ,FL,Ford-F150 License #: 435 DHJ,19652,7200,5889
Nissan,200SX,vel augue,KW98 GTGI KPFJ 0SNS JHF4 8OWC EM2I DD,802 VRI,FL,Nissan-200SX License #: 802 VRI,4493,7192,15359
Audi,S4,nulla pede,AD17 8842 1444 KPRQ ZFYE 70XP,753 YMO,LA,Audi-S4 License #: 753 YMO,18066,7991,8139
